"SNo","Title","URL","Selling Price","MRP","Margin","Margin %"
"56","Cadbury Dairy Milk Shots 58 N (Rs. 2 Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/CADBURY-SHOTS/p/000000000000017256","105.45","116.0","10.55","9.09"
"57","Parle Hide & Seek Biscuits 100 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/PARLE-HIDE-%26-SEEK/p/000000000000010466","27.27","30.0","2.73","9.1"
"58","Chupa Chups Sour Tubes Mini Toffee 61.6 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Toffee%2C-Candy-%26-Eclairs/CHUPA-CHUPS/p/000000000000039533","26.79","30.0","3.21","10.7"
"59","Lakme Peach Milk Soft Crème 50 g","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Creams-%26-Body-Lotions/Skin-Creams/LAKME/p/000000000000022957","96.0","110.0","14.0","12.73"
"60","Britannia Good Day Butter Biscuits 500 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cookies/BRITANNIA-GOOD-DAY/p/000000000000018997","72.73","80.0","7.27","9.09"
"61","Colgate Cibaca Toothpaste 175 g","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/COLGATE-CIBACA/p/000000000000010401","98.18","108.0","9.82","9.09"
"62","Colgate Max Fresh Red Toothpaste 300 g","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/COLGATE-MAX-FRESH/p/000000000000013581","154.78","178.0","23.22","13.04"
"63","Parle-G Biscuits 500 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Glucose-%26-Milk/PARLE-G/p/000000000000023878","59.09","65.0","5.91","9.09"
"64","Cadbury Gems Chocolate Bus 17.8 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/CADBURY-GEMS/p/000000000000011171","40.18","45.0","4.82","10.71"
"65","Agarwal 420 Papad Punjabi Masala, 200 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Noodles%2C-Pasta-%26-Instant-Foods/Papad-%26-Fryums/AGARWAL-420/p/000000000000011543","44.76","58.0","13.24","22.83"
"66","Unibic Cookies Fruit Nut, 150 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/UNIBIC/p/000000000000021175","45.0","50.0","5.0","10.0"
